"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2014_1","G","CCA9",2015-04-23,113,13143.438,5822.562,24788.562,5.687025,4.6002375,14.8875,7985.655,9879.345,27744.345
"LSCFS_2014_1","H","CCA4",2014-07-17,198,9334.017,8042.913,25419.843,7.373114172,13.731942914,34.837,7453.278,13999.303,35451.884
"LSCFS_2014_1","H","CCA5",2014-08-08,220,11887.722,8660.557,29208.836,9.44377344,12.44836328,34.3405,8340.573,12784.591,33909.755
"LSCFS_2014_1","H","CCA6",2014-09-09,252,8999.298,10578.5565,30156.411,2.121032844,9.459983578,21.041,6122.559,12352.2455,30827.05
"LSCFS_2014_1","H","CCA7",2014-10-15,288,2469.852,9264.205,20998.262,0.707010948,7.090244526,14.8875,266.412,1562.67,3391.752
"LSCFS_2014_1","H","CCA8",2015-03-18,77,12389.454,5488.546,23366.546,12.170329,9.8445855,31.8595,5767.641,7135.359,20038.359
"LSCFS_2014_1","H","CCA9",2015-04-23,113,22686.741,10050.259,42787.259,8.568451,6.9310245,22.4305,10647.54,13172.46,36992.46
"LSCFS_2014_1","I","CCA4",2014-07-17,198,14524.587,6434.413,27393.413,14.695854768,7.093072616,28.882,9494.28,11745.72,32985.72
"LSCFS_2014_1","I","CCA5",2014-08-08,220,14231.448,6304.552,26840.552,15.50386728,7.48306636,30.47,10381.575,12843.425,36068.425
"LSCFS_2014_1","I","CCA6",2014-09-09,252,15194.025,6730.975,28655.975,9.999154836,4.826172582,19.6515,11534.835,14270.165,40075.165
"LSCFS_2014_1","I","CCA7",2014-10-15,288,10841.292,4802.708,20446.708,5.858090712,2.827454644,11.513,1153.707,1427.293,4008.293
"LSCFS_2014_1","I","CCA8",2015-03-18,77,7031.871,3115.129,13262.129,3.639696,2.944152,9.528,5146.311,6366.689,17879.689
"LSCFS_2014_1","I","CCA9",2015-04-23,113,15152.445,6712.555,28577.555,8.947586,7.237707,23.423,10204.116,12623.884,35451.884
"LSCFS_2014_1","J","CCA4",2014-07-17,198,8329.86,6610.6315,21551.123,11.817182988,6.795408506,25.408,4880.346,12665.0815,30210.509
"LSCFS_2014_1","J","CCA5",2014-08-08,220,7534.296,6771.8465,21077.989,12.928200192,8.324149904,29.5765,4081.557,14605.8285,33293.214
"LSCFS_2014_1","J","CCA6",2014-09-09,252,9961.875,7215.9865,24393.848,7.92874998,7.99537501,23.9195,6565.983,13826.4095,34218.802
"LSCFS_2014_1","J","CCA7",2014-10-15,288,7702.002,4950.9905,17603.983,5.201707752,3.006896124,11.2155,5678.688,13036.975,31752.638
"LSCFS_2014_1","J","CCA8",2015-03-18,77,334.719,148.281,631.281,0.606616,0.490692,1.588,621.33,768.67,2158.67
"LSCFS_2014_1","J","CCA9",2015-04-23,113,2595.285,1149.715,4894.715,0.341317,0.2760915,0.8935,2928.297,3622.703,10173.703
"LSCFS_2014_1","K","CCA4",2014-07-17,198,10841.292,7249.412,25340.116,6.464100096,7.933699952,22.3315,8340.573,10781.221,29903.015
"LSCFS_2014_1","K","CCA5",2014-08-08,220,10464.3,7675.1285,25814.557,12.423192372,6.839903814,26.103,8340.573,13863.926,36068.425
"LSCFS_2014_1","K","CCA6",2014-09-09,252,13435.884,6584.0505,26603.985,0.606009384,8.480745308,17.5675,9937.704,13835.6485,37609.001
"LSCFS_2014_1","K","CCA7",2014-10-15,288,6781.005,7305.9855,21392.976,0.404006256,6.943996872,14.292,709.836,1802.9755,4315.787
"LSCFS_2014_1","K","CCA8",2015-03-18,77,2846.151,1260.849,5367.849,1.706203,1.3801485,4.4665,1419.672,1756.328,4932.328
