colony,hive,cca,date,doy,adult_num,pupae_num,larvae_num,eggs_num,queen,hive_weight,honey_cells,honey_kg,pollen_cells,pollen_g,mites_per100,mites_num,disease
LSCFS_2013_1,J7,CCA7,2013-10-16,289,6596,4644,2580,3268,1,61.5,30272,15.136,6192,1424.16,NA,NA,NA
LSCFS_2013_1,J7,CCA8,2014-03-22,81,13137,17716,5848,5160,1,40.5,17888,8.944,5676,1305.48,0,0,0
LSCFS_2013_1,K3,CCA1,2013-05-12,132,3019,0,0,1892,1,NA,9460,4.73,4988,1147.24,NA,NA,NA
LSCFS_2013_1,K3,CCA2,2013-05-30,150,4025,14620,4300,3612,1,NA,16168,8.084,4816,1107.68,NA,NA,NA
LSCFS_2013_1,K3,CCA3,2013-06-23,174,5366,18060,8084,4816,1,40.5,11008,5.504,1548,356.04,0,0,0
LSCFS_2013_1,K3,CCA4,2013-07-17,198,6484,19608,8428,4816,1,49,4300,2.15,1720,395.6,NA,NA,NA
LSCFS_2013_1,K3,CCA5,2013-08-14,226,4919,0,1892,6880,1,43.5,12212,6.106,7568,1740.64,0.18,88542,1650000
LSCFS_2013_1,K3,CCA6,2013-09-10,253,6596,15308,9288,4988,1,40,8256,4.128,3612,830.76,NA,NA,NA
LSCFS_2013_1,K3,CCA7,2013-10-16,289,3410,3612,516,688,1,32,2236,1.118,172,39.56,NA,NA,NA
LSCFS_2013_1,K4,CCA2,2013-06-12,163,8217,12900,3784,5676,1,NA,8772,4.386,3440,791.2,NA,NA,NA
LSCFS_2013_1,K4,CCA3,2013-06-23,174,7491,11868,8428,4988,1,38.5,8256,4.128,4816,1107.68,0.36,269676,0
LSCFS_2013_1,K4,CCA4,2013-07-18,199,11851,15652,5332,3956,1,53,7568,3.784,8600,1978,NA,NA,NA
LSCFS_2013_1,K4,CCA5,2013-08-15,227,13584,17716,5160,4300,1,45,6536,3.268,7912,1819.76,0.47,638448,550000
LSCFS_2013_1,K4,CCA6,2013-09-11,254,7547,14792,3440,3096,1,51,17888,8.944,4128,949.44,NA,NA,NA
LSCFS_2013_1,K4,CCA7,2013-10-17,290,4752,3784,1376,1032,1,48.5,13588,6.794,2752,632.96,NA,NA,NA
LSCFS_2013_1,L5,CCA1,2013-05-12,132,3410,6020,1548,3268,1,NA,2580,1.29,3612,830.76,NA,NA,NA
LSCFS_2013_1,L5,CCA2,2013-05-30,150,6093,13072,5332,1032,1,NA,11008,5.504,1376,316.48,NA,NA,NA
LSCFS_2013_1,L5,CCA3,2013-06-23,174,5422,5504,8084,7740,1,44,14276,7.138,6020,1384.6,0.31,168082,0
LSCFS_2013_1,L5,CCA4,2013-07-17,198,7211,13588,8084,5504,1,60.5,15652,7.826,4472,1028.56,NA,NA,NA
LSCFS_2013_1,L5,CCA5,2013-08-14,226,8106,19780,9288,5848,1,52,12040,6.02,14104,3243.92,0.58,470148,50000
LSCFS_2013_1,L5,CCA6,2013-09-10,253,6988,20812,7912,5504,1,58,26144,13.072,2924,672.52,NA,NA,NA
LSCFS_2013_1,L5,CCA7,2013-10-16,289,9838,9116,1376,688,1,65,36120,18.06,5676,1305.48,NA,NA,NA
LSCFS_2013_1,L5,CCA8,2014-03-22,81,10733,14792,8600,3956,1,53.5,20124,10.062,6192,1424.16,1.13,1212829,0
LSCFS_2013_1,L7,CCA2,2013-05-30,150,4360,9804,4988,3956,1,NA,7052,3.526,1376,316.48,NA,NA,NA
LSCFS_2013_1,L7,CCA3,2013-06-23,174,4863,16168,4644,6880,1,34.5,2580,1.29,1892,435.16,NA,NA,NA
LSCFS_2013_1,L7,CCA4,2013-07-17,198,7435,17372,6364,5504,1,54,7912,3.956,5160,1186.8,0,0,2800000
LSCFS_2013_1,L7,CCA5,2013-08-14,226,7099,18060,6708,7740,1,46.5,7224,3.612,6192,1424.16,NA,NA,NA
LSCFS_2013_1,L7,CCA6,2013-09-10,253,6820,13244,2924,3612,1,60.5,30788,15.394,1376,316.48,0.18,122760,0
LSCFS_2013_1,L7,CCA7,2013-10-16,289,9000,6880,2236,1204,1,63.5,36636,18.318,2064,474.72,NA,NA,NA
LSCFS_2013_1,L7,CCA8,2014-03-22,81,13528,21328,9632,3612,1,52,18576,9.288,5676,1305.48,0.72,974016,0
LSCFS_2014_1,A3,CCA1,2014-05-15,135,8516,8734,4169,8139,1,NA,24217,12.1085,5360,1232.8,NA,NA,NA
LSCFS_2014_1,A3,CCA2,2014-06-05,156,8818,20049,12109,2581,1,NA,37914,18.957,2382,547.86,NA,NA,NA
LSCFS_2014_1,A3,CCA3,2014-06-20,171,22408,22034,10719,8139,1,NA,56970,28.485,7543,1734.89,0.22,492976,0.82
LSCFS_2014_1,A3,CCA4,2014-07-17,198,15885,20247,10521,4764,1,57.44,76820,38.41,7543,1734.89,NA,NA,NA
LSCFS_2014_1,A3,CCA5,2014-08-08,220,19086,18064,6948,6948,1,55.54,83767,41.8835,9925,2282.75,0.42,801612,0.2
LSCFS_2014_1,A3,CCA6,2014-09-09,252,16912,20446,8139,4963,1,NA,45060,22.53,8734,2008.82,NA,NA,NA
LSCFS_2014_1,A3,CCA7,2014-10-15,288,11355,0,0,0,0,NA,32157,16.0785,12506,2876.38,NA,NA,NA
LSCFS_2014_1,A3,CCA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,A3,CCA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,A5,CCA1,2014-05-15,135,9422,2382,5955,8933,1,NA,37318,18.659,8337,1917.51,NA,NA,NA
LSCFS_2014_1,A5,CCA2,2014-06-05,156,20174,21438,11513,6551,1,NA,98258,49.129,5955,1369.65,NA,NA,NA
LSCFS_2014_1,A5,CCA3,2014-06-20,171,26395,24019,12506,8536,1,NA,114733,57.3665,6749,1552.27,0,0,0.52
LSCFS_2014_1,A5,CCA4,2014-07-17,198,18543,17071,9131,8139,1,69.74,87340,43.67,15682,3606.86,NA,NA,NA
LSCFS_2014_1,A5,CCA5,2014-08-08,220,21684,16674,11315,9528,1,68.16,91112,45.556,13697,3150.31,2.01,4358484,1.4
LSCFS_2014_1,A5,CCA6,2014-09-09,252,21321,21637,13300,3772,1,60.46,59550,29.775,11513,2647.99,NA,NA,NA
LSCFS_2014_1,A5,CCA7,2014-10-15,288,16066,2382,199,1787,1,54.2,53595,26.7975,12506,2876.38,NA,NA,NA
LSCFS_2014_1,A5,CCA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,A5,CCA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,B2,CCA1,2014-05-15,135,2356,6352,3970,2978,1,NA,2581,1.2905,397,91.31,NA,NA,NA
LSCFS_2014_1,B2,CCA2,2014-06-05,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,B2,CCA3,2014-06-20,171,6644,16476,13697,3176,1,NA,20843,10.4215,4169,958.87,NA,NA,NA
LSCFS_2014_1,B2,CCA4,2014-07-17,198,15764,23026,10719,7146,1,37.4,31363,15.6815,7940,1826.2,NA,NA,NA
LSCFS_2014_1,B2,CCA5,2014-08-08,220,18603,25210,12903,5161,1,35.65,29180,14.59,8933,2054.59,0,0,0
LSCFS_2014_1,B2,CCA6,2014-09-09,252,4953,4367,0,0,0,27.09,0,0,596,137.08,NA,NA,NA
LSCFS_2014_1,B2,CCA7,2014-10-15,288,2718,993,596,1191,1,23.73,2184,1.092,397,91.31,NA,NA,NA
LSCFS_2014_1,B2,CCA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,B2,CCA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,B3,CCA1,2014-05-15,135,4711,8933,4566,6154,1,NA,13101,6.5505,4169,958.87,NA,NA,NA
LSCFS_2014_1,B3,CCA2,2014-06-05,156,12986,15285,6154,14888,1,NA,72056,36.028,3176,730.48,NA,NA,NA
LSCFS_2014_1,B3,CCA3,2014-06-20,171,23979,21438,8734,12903,1,NA,84958,42.479,6948,1598.04,0.65,1558635,0.57
LSCFS_2014_1,B3,CCA4,2014-07-17,198,23556,21637,6352,7543,1,NA,83767,41.8835,10719,2465.37,NA,NA,NA
LSCFS_2014_1,B3,CCA5,2014-08-08,220,23496,24217,10719,8933,1,NA,78209,39.1045,9925,2282.75,1.24,2913504,0
LSCFS_2014_1,B3,CCA6,2014-09-09,252,24100,26996,9925,8536,1,NA,41884,20.942,1191,273.93,NA,NA,NA
LSCFS_2014_1,B3,CCA7,2014-10-15,288,18422,10719,7146,4963,1,NA,26798,13.399,9330,2145.9,NA,NA,NA
LSCFS_2014_1,B3,CCA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2014_1,B3,CCA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
