study,colony,cca,date,doy,adult.num,pupae.num,larvae.num,eggs.num,queen,honey.cells,honey.kg,pollen.cells,pollen.g
LSCFS_2014_1,C1,CCA2,6/5/2014,156,13288,13101,8337,6749,1,48633,24.3165,4566,1050.18
LSCFS_2014_1,C1,CCA3,6/20/2014,171,15342,14491,9330,10124,1,58756,29.378,6551,1506.73
LSCFS_2014_1,C1,CCA4,7/17/2014,198,19388,22232,9925,3772,1,67292,33.646,21835,5022.05
LSCFS_2014_1,C1,CCA5,8/8/2014,220,26093,20446,17468,794,1,73247,36.6235,15483,3561.09
LSCFS_2014_1,C1,CCA6,9/9/2014,252,24704,24416,14888,596,1,57168,28.584,20644,4748.12
LSCFS_2014_1,C1,CCA7,10/15/2014,288,12080,4566,3970,596,1,21438,10.719,5360,1232.8
LSCFS_2014_1,C1,CCA8,3/18/2015,77,5013,5558,6749,2184,1,10719,5.3595,9330,2145.9
LSCFS_2014_1,C1,CCA9,4/23/2015,113,20476,3375,0,0,0,25805,12.9025,11116,2556.68
LSCFS_2014_1,C3,CCA1,5/15/2014,135,3986,11315,7146,3375,1,4169,2.0845,1985,456.55
LSCFS_2014_1,C3,CCA2,6/5/2014,156,10208,16277,4963,6352,1,11712,5.856,1390,319.7
LSCFS_2014_1,C3,CCA3,6/20/2014,171,11476,20644,10521,2978,1,24217,12.1085,6154,1415.42
LSCFS_2014_1,C3,CCA4,7/17/2014,198,15583,20446,11712,3573,1,44663,22.3315,11910,2739.3
LSCFS_2014_1,C3,CCA5,8/8/2014,220,18060,19056,8139,1588,1,56771,28.3855,10918,2511.14
LSCFS_2014_1,C3,CCA6,9/9/2014,252,14798,21240,6154,1985,1,31562,15.781,8337,1917.51
LSCFS_2014_1,C3,CCA7,10/15/2014,288,8939,3375,0,397,1,26401,13.2005,4367,1004.41
LSCFS_2014_1,D4,CCA1,5/15/2014,135,4168,3772,7940,4963,1,7146,3.573,993,228.39
LSCFS_2014_1,D4,CCA2,6/5/2014,156,8939,11910,7742,7345,1,11712,5.856,596,137.08
LSCFS_2014_1,D4,CCA3,6/20/2014,171,14315,20247,9330,4169,1,35135,17.5675,2581,593.63
LSCFS_2014_1,D4,CCA4,7/17/2014,198,15100,18262,11315,5558,1,54786,27.393,9528,2191.44
LSCFS_2014_1,D4,CCA5,8/8/2014,220,18664,15682,3772,397,1,58161,29.0805,4566,1050.18
LSCFS_2014_1,D4,CCA6,9/9/2014,252,16972,16277,15285,1390,1,36921,18.4605,3970,913.1
LSCFS_2014_1,D4,CCA7,10/15/2014,288,11355,1985,1985,0,0,38311,19.1555,2978,684.94
LSCFS_2014_1,D8,CCA1,5/15/2014,135,7610,5955,6749,6749,1,24813,12.4065,5360,1232.8
LSCFS_2014_1,D8,CCA2,6/5/2014,156,12020,18461,6551,9131,1,56374,28.187,4963,1141.49
LSCFS_2014_1,D8,CCA3,6/20/2014,171,19932,16476,17071,6749,1,72850,36.425,9330,2145.9
LSCFS_2014_1,D8,CCA4,7/17/2014,198,15281,17865,12109,3375,1,82973,41.4865,13697,3150.31
